rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:208,208,15-May,H.R.375,On Motion to Suspend the Rules and Pass,P,"To amend the Act of June 18, 1934, to reaffirm the authority of the Secretary of the Interior to take land into trust for Indian Tribes, and for other purposes",2019,116,1
2019:209,209,15-May,H.R.1892,On Motion to Suspend the Rules and Pass,P,Quadrennial Homeland Security Review Technical Corrections Act,2019,116,1
2019:210,210,16-May,H.R.987,On Agreeing to the Amendment,F,McKinley of West Virginia Amendment No. 2,2019,116,1
2019:211,211,16-May,H.R.987,On Agreeing to the Amendment,A,Harder of California Amendment No. 6,2019,116,1
2019:212,212,16-May,H.R.987,On Agreeing to the Amendment,A,Wexton of Virginia Amendment No. 21,2019,116,1
2019:213,213,16-May,H.R.987,On Motion to Recommit with Instructions,F,MORE Health Education Act,2019,116,1
2019:214,214,16-May,H.R.987,On Passage,P,MORE Health Education Act,2019,116,1
2019:215,215,17-May,JOURNAL,On Approving the Journal,P, ,2019,116,1
2019:216,216,17-May,H.R.5,On Motion to Recommit with Instructions,F,Equality Act,2019,116,1
2019:217,217,17-May,H.R.5,On Passage,P,Equality Act,2019,116,1
2019:218,218,20-May,H.R.1952,"On Motion to Suspend the Rules and Pass, as Amended",P,Intercountry Adoption Information Act,2019,116,1
2019:219,219,20-May,H.RES.106,On Motion to Suspend the Rules and Agree,P,Denouncing female genital mutilation/cutting as a violation of the human rights of women and girls and urging the international community and the Federal Government to increase efforts to eliminate the harmful practice,2019,116,1
2019:220,220,21-May,H.RES.389,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 1500) Consumers First Act, providing for consideration of the bill (H.R. 1994) Setting Every Community Up for Retirement Enhancement Act, and providing for proceedings during the period from May 24, 2019, through May 31, 2019, and for other purposes.",2019,116,1
2019:221,221,21-May,H.RES.389,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 1500) Consumers First Act, providing for consideration of the bill (H.R. 1994) Setting Every Community Up for Retirement Enhancement Act, and providing for proceedings during the period from May 24, 2019, through May 31, 2019, and for other purposes.",2019,116,1
2019:222,222,22-May,H.R.1500,On Agreeing to the Amendment,F,Steil of Wisconsin Part A Amendment No. 2,2019,116,1
2019:223,223,22-May,H.R.1500,On Agreeing to the Amendment,F,Burgess of Texas Part A Amendment No. 6,2019,116,1
2019:224,224,22-May,H.R.1500,On Agreeing to the Amendment,F,Burgess of Texas Part A Amendment No. 7,2019,116,1
2019:225,225,22-May,H.R.1500,On Agreeing to the Amendment,A,Stevens of Michigan Part A Amendment No. 14,2019,116,1
2019:226,226,22-May,H.R.1500,On Agreeing to the Amendment,A,Green of Texas Part A Amendment No. 17,2019,116,1
2019:227,227,22-May,H.R.1500,On Motion to Recommit with Instructions,F,Consumers First Act,2019,116,1
2019:228,228,22-May,H.R.1500,On Passage,P,Consumers First Act,2019,116,1
2019:229,229,23-May,JOURNAL,On Approving the Journal,P, ,2019,116,1
2019:230,230,23-May,H.R.1994,On Motion to Recommit with Instructions,F,Setting Every Community Up for Retirement Enhancement Act,2019,116,1
2019:231,231,23-May,H.R.1994,On Passage,P,Setting Every Community Up for Retirement Enhancement Act,2019,116,1
2019:232,232,3-Jun,H.R.2157,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
2019:233,233,3-Jun,H.R.2940,On Motion to Suspend the Rules and Pass,P,"To extend the program of block grants to States for temporary assistance for needy families and related programs through September 30, 2019",2019,116,1
2019:234,234,3-Jun,JOURNAL,On Approving the Journal,P, ,2019,116,1
2019:235,235,4-Jun,H.RES.415,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 6) to authorize the cancellation of removal and adjustment of status of certain aliens, and for other purposes",2019,116,1
2019:236,236,4-Jun,H.RES.415,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 6) to authorize the cancellation of removal and adjustment of status of certain aliens, and for other purposes",2019,116,1
2019:237,237,4-Jun,JOURNAL,On Approving the Journal,P, ,2019,116,1
